Parameter,Value,Unit,Category
ai_inference_time_sec,1.1749219231972043,standard,simulink_input
ai_inference_time_std_sec,0.2534776156408056,standard,simulink_input
ai_inference_time_median_sec,1.0847372484968218,standard,simulink_input
ai_inference_time_p95_sec,1.7439911510446096,standard,simulink_input
preprocessing_time_sec,0.3172297902662346,standard,simulink_input
encoder_backbone_time_sec,0.7611245373993977,standard,simulink_input
pooling_time_sec,1.620553302927874e-05,standard,simulink_input
classifier_time_sec,0.0024796749326924327,standard,simulink_input
gradcam_generation_time_sec,0.4100588182993912,standard,simulink_input
gradcam_generation_time_std_sec,0.20500659673295887,standard,simulink_input
gradcam_generation_time_p95_sec,0.8071253465976027,standard,simulink_input
total_ai_latency_with_gradcam_sec,1.6672475015341963,standard,simulink_input
throughput_images_per_sec,0.5997909722940372,standard,simulink_input
throughput_images_per_hour,2159.2475002585343,standard,simulink_input
model_total_parameters,444056853,standard,simulink_input
peak_memory_mb,1004.5,standard,simulink_input
image_quality_assessment_time_sec,0.08225432909991165,standard,simulink_input
acceptable_image_rate,0.5145631067961165,standard,simulink_input
borderline_image_rate,0.47572815533980584,standard,simulink_input
ungradeable_image_rate,0.009708737864077669,standard,simulink_input
enhancement_trigger_rate,0.4854368932038835,standard,simulink_input
grade0_rate,0.3300970873786408,standard,simulink_input
grade1_rate,0.04854368932038835,standard,simulink_input
grade2_rate,0.3106796116504854,standard,simulink_input
grade3_rate,0.18446601941747573,standard,simulink_input
grade4_rate,0.1262135922330097,standard,simulink_input
referable_dr_prevalence,0.6213592233009708,standard,simulink_input
non_referable_dr_prevalence,0.3786407766990291,standard,simulink_input
referable_DR_sensitivity,0.96875,standard,simulink_input
referable_DR_specificity,0.48717948717948717,standard,simulink_input
referable_DR_ppv,0.7560975609756098,standard,simulink_input
referable_DR_npv,0.9047619047619048,standard,simulink_input
referable_DR_auc,0.8962339743589745,standard,simulink_input
multiclass_accuracy,0.32038834951456313,standard,simulink_input
multiclass_macro_f1,0.21753275729179347,standard,simulink_input
quadratic_weighted_kappa,0.41131917661818684,standard,simulink_input
average_prediction_confidence,0.746588679482636,standard,simulink_input
median_prediction_confidence,0.8394633531570435,standard,simulink_input
expected_calibration_error,0.4269299596837423,standard,simulink_input
brier_score,1.116257070313563,standard,simulink_input
human_review_rate,0.9514563106796117,standard,simulink_input
auto_cleared_rate,0.04854368932038835,standard,simulink_input
explainability_time_per_review_sec,0.4100588182993912,standard,simulink_input
raw_image_size_mean_MB,0.42771136644974495,standard,simulink_input
raw_image_size_p95_MB,0.7511037826538084,standard,simulink_input
acquisition_image_width,4288,standard,simulink_input
acquisition_image_height,2848,standard,simulink_input
preprocessed_image_width,384,standard,simulink_input
preprocessed_image_height,384,standard,simulink_input
